Notes,StopEpoch,MaxEpochs,File,Time,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Precision,Recall,Y_EVAL,Y_PRED,SizeTrain,SizeEval,TestSize,PositiveShareTraining,PositiveShareTesting,F1
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,12,100,Friday-16-02-2018.pcapng.net/Connection.csv,101.52608275413513,3530,5,593786,0,0.999991629291453,0.9985855728429985,1.0,"=""{0: 593791, 1: 3530}""","=""{0: 593786, 1: 3535}""",1791963,597321,0.25,0.59%,0.59%,0.9992922859164897
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,6,100,Friday-23-02-2018.pcapng.net/Connection.csv,96.39827418327332,0,0,1000051,56,0.9999440059913589,nan,0.0,"=""{0: 1000051, 1: 56}""","=""{0: 1000107}""",3000318,1000107,0.25,0.00%,0.01%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,9,100,Thursday-01-03-2018.pcapng.net/Connection.csv,194.74503135681152,30994,7717,1447169,100,0.994739498512766,0.8006509777582599,0.9967839454557149,"=""{0: 1454886, 1: 31094}""","=""{0: 1447269, 1: 38711}""",4457939,1485980,0.25,2.11%,2.09%,0.8880166177207935
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,9,100,Thursday-22-02-2018.pcapng.net/Connection.csv,180.48888659477234,46,30,1370401,1,0.9999773801549532,0.6052631578947368,0.9787234042553191,"=""{0: 1370431, 1: 47}""","=""{0: 1370402, 1: 76}""",4111432,1370478,0.25,0.00%,0.00%,0.7479674796747967
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,6,100,Tuesday-20-02-2018.pcapng.net/Connection.csv,78.25177454948425,36563,4282,757495,0,0.9946363704687226,0.895164646835598,1.0,"=""{0: 761777, 1: 36563}""","=""{0: 757495, 1: 40845}""",2395019,798340,0.25,4.62%,4.58%,0.944682720132286
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,4,100,Wednesday-14-02-2018.pcapng.net/Connection.csv,26.067684412002563,0,0,336293,1609,0.9952382643488349,nan,0.0,"=""{0: 336293, 1: 1609}""","=""{0: 337902}""",1013706,337902,0.25,0.48%,0.48%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,7,100,Wednesday-21-02-2018.pcapng.net/Connection.csv,147.3269989490509,36759,4071,1304208,6,0.9969688723937655,0.900293901542983,0.9998368013055896,"=""{0: 1308279, 1: 36765}""","=""{0: 1304214, 1: 40830}""",4035129,1345044,0.25,2.74%,2.73%,0.9474579547651266
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,9,100,Wednesday-28-02-2018.pcapng.net/Connection.csv,198.7843427658081,36491,9954,1437507,189,0.9931657436860784,0.785681989449887,0.9948473282442748,"=""{0: 1447461, 1: 36680}""","=""{0: 1437696, 1: 46445}""",4452421,1484141,0.25,2.47%,2.47%,0.8779789473684212
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,10,100,Friday-02-03-2018.pcapng.net/Connection.csv,209.2424750328064,21696,1347,1404262,1368,0.9980996351159432,0.9415440697825804,0.9406867845993756,"=""{0: 1405609, 1: 23064}""","=""{0: 1405630, 1: 23043}""",4286018,1428673,0.25,1.60%,1.61%,0.9411152319604398
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,8,100,Friday-16-02-2018.pcapng.net/Connection.csv,74.2322735786438,3563,0,593758,0,1.0,1.0,1.0,"=""{0: 593758, 1: 3563}""","=""{0: 593758, 1: 3563}""",1791963,597321,0.25,0.59%,0.60%,1.0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,4,100,Friday-23-02-2018.pcapng.net/Connection.csv,70.54057955741882,0,1,1000063,43,0.9999560047074963,0.0,0.0,"=""{0: 1000064, 1: 43}""","=""{0: 1000106, 1: 1}""",3000318,1000107,0.25,0.01%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,8,100,Thursday-01-03-2018.pcapng.net/Connection.csv,177.82101392745972,29558,99,1454689,1634,0.998833766268725,0.9966618336311832,0.9476147730187228,"=""{0: 1454788, 1: 31192}""","=""{0: 1456323, 1: 29657}""",4457939,1485980,0.25,2.11%,2.10%,0.9715196634291443
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,4,100,Thursday-22-02-2018.pcapng.net/Connection.csv,98.1777548789978,0,0,1370426,52,0.9999620570341151,nan,0.0,"=""{0: 1370426, 1: 52}""","=""{0: 1370478}""",4111432,1370478,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,5,100,Tuesday-20-02-2018.pcapng.net/Connection.csv,68.64612889289856,36684,4135,757519,2,0.9948179973444898,0.898699135206644,0.9999454832906286,"=""{0: 761654, 1: 36686}""","=""{0: 757521, 1: 40819}""",2395019,798340,0.25,4.61%,4.60%,0.9466227985291272
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,14,100,Wednesday-14-02-2018.pcapng.net/Connection.csv,67.63939833641052,1578,2,336322,0,0.9999940811241129,0.9987341772151899,1.0,"=""{0: 336324, 1: 1578}""","=""{0: 336322, 1: 1580}""",1013706,337902,0.25,0.48%,0.47%,0.999366687777074
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,9,100,Wednesday-21-02-2018.pcapng.net/Connection.csv,176.48164129257202,36846,4126,1304068,4,0.9969294684783546,0.8992970809333203,0.9998914518317503,"=""{0: 1308194, 1: 36850}""","=""{0: 1304072, 1: 40972}""",4035129,1345044,0.25,2.74%,2.74%,0.9469301739867904
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with tweaked class weights,9,100,Wednesday-28-02-2018.pcapng.net/Connection.csv,195.04641556739807,35627,1079,1446314,1121,0.9985176610578106,0.9706042608837793,0.9694949385000544,"=""{0: 1447393, 1: 36748}""","=""{0: 1447435, 1: 36706}""",4452421,1484141,0.25,2.47%,2.48%,0.9700492825441773
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with dropout layer,5,100,Friday-02-03-2018.pcapng.net/Connection.csv,119.07617115974426,21187,1355,1404525,1606,0.9979274473584928,0.9398899831425783,0.9295397709823191,"=""{0: 1405880, 1: 22793}""","=""{0: 1406131, 1: 22542}""",4286018,1428673,0.25,1.61%,1.60%,0.9346862247711482
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with dropout layer,4,100,Friday-16-02-2018.pcapng.net/Connection.csv,43.16320323944092,3467,0,593854,0,1.0,1.0,1.0,"=""{0: 593854, 1: 3467}""","=""{0: 593854, 1: 3467}""",1791963,597321,0.25,0.59%,0.58%,1.0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with dropout layer,4,100,Friday-23-02-2018.pcapng.net/Connection.csv,72.09162330627441,0,0,1000062,45,0.9999550048144848,nan,0.0,"=""{0: 1000062, 1: 45}""","=""{0: 1000107}""",3000318,1000107,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with dropout layer,6,100,Thursday-01-03-2018.pcapng.net/Connection.csv,143.7496235370636,29498,1210,1453539,1733,0.9980194888221914,0.960596587208545,0.9445102622394416,"=""{0: 1454749, 1: 31231}""","=""{0: 1455272, 1: 30708}""",4457939,1485980,0.25,2.11%,2.10%,0.9524855099371963
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with dropout layer,4,100,Thursday-22-02-2018.pcapng.net/Connection.csv,96.76782584190369,0,0,1370439,39,0.9999715427755863,nan,0.0,"=""{0: 1370439, 1: 39}""","=""{0: 1370478}""",4111432,1370478,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with dropout layer,4,100,Tuesday-20-02-2018.pcapng.net/Connection.csv,59.57285714149475,0,0,761338,37002,0.9536513265024926,nan,0.0,"=""{0: 761338, 1: 37002}""","=""{0: 798340}""",2395019,798340,0.25,4.60%,4.63%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with dropout layer,4,100,Wednesday-14-02-2018.pcapng.net/Connection.csv,26.303435564041138,1578,56,336268,0,0.9998342714751615,0.9657282741738066,1.0,"=""{0: 336324, 1: 1578}""","=""{0: 336268, 1: 1634}""",1013706,337902,0.25,0.48%,0.47%,0.9825653798256537
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with dropout layer,4,100,Wednesday-21-02-2018.pcapng.net/Connection.csv,95.80215787887573,36772,4048,1304223,1,0.9969896895566241,0.9008329250367467,0.999972806134936,"=""{0: 1308271, 1: 36773}""","=""{0: 1304224, 1: 40820}""",4035129,1345044,0.25,2.74%,2.73%,0.947817457760365
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with dropout layer,11,100,Wednesday-28-02-2018.pcapng.net/Connection.csv,233.56010484695435,35535,1407,1446008,1191,0.99824949246736,0.9619132694494071,0.9675706583891521,"=""{0: 1447415, 1: 36726}""","=""{0: 1447199, 1: 36942}""",4452421,1484141,0.25,2.47%,2.47%,0.964733669978824
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with relu activation and minmax,5,100,Friday-02-03-2018.pcapng.net/Connection.csv,138.27192854881287,22959,11816,1393887,11,0.9917216885879414,0.660215672178289,0.9995211144971702,"=""{0: 1405703, 1: 22970}""","=""{0: 1393898, 1: 34775}""",4286018,1428673,0.25,1.60%,1.61%,0.7951857303662655
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with relu activation and minmax,10,100,Friday-16-02-2018.pcapng.net/Connection.csv,94.05844569206238,0,0,593807,3514,0.9941170660331714,nan,0.0,"=""{0: 593807, 1: 3514}""","=""{0: 597321}""",1791963,597321,0.25,0.59%,0.59%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with relu activation and minmax,12,100,Friday-23-02-2018.pcapng.net/Connection.csv,177.63208389282227,0,0,1000067,40,0.9999600042795421,nan,0.0,"=""{0: 1000067, 1: 40}""","=""{0: 1000107}""",3000318,1000107,0.25,0.01%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with relu activation and minmax,6,100,Thursday-01-03-2018.pcapng.net/Connection.csv,159.08893013000488,0,0,1454466,31514,0.9787924467354877,nan,0.0,"=""{0: 1454466, 1: 31514}""","=""{0: 1485980}""",4457939,1485980,0.25,2.10%,2.12%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with relu activation and minmax,8,100,Thursday-22-02-2018.pcapng.net/Connection.csv,181.92753767967224,0,0,1370426,52,0.9999620570341151,nan,0.0,"=""{0: 1370426, 1: 52}""","=""{0: 1370478}""",4111432,1370478,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with relu activation and minmax,7,100,Tuesday-20-02-2018.pcapng.net/Connection.csv,96.79551410675049,0,0,761382,36958,0.9537064408647945,nan,0.0,"=""{0: 761382, 1: 36958}""","=""{0: 798340}""",2395019,798340,0.25,4.60%,4.63%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with relu activation and minmax,17,100,Wednesday-14-02-2018.pcapng.net/Connection.csv,84.16900849342346,0,0,336274,1628,0.9951820350279075,nan,0.0,"=""{0: 336274, 1: 1628}""","=""{0: 337902}""",1013706,337902,0.25,0.48%,0.48%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with relu activation and minmax,6,100,Wednesday-21-02-2018.pcapng.net/Connection.csv,145.25860857963562,0,0,1308367,36677,0.9727317470655235,nan,0.0,"=""{0: 1308367, 1: 36677}""","=""{0: 1345044}""",4035129,1345044,0.25,2.75%,2.73%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with relu activation and minmax,6,100,Wednesday-28-02-2018.pcapng.net/Connection.csv,159.55776071548462,0,0,1447507,36634,0.9753163614508324,nan,0.0,"=""{0: 1447507, 1: 36634}""","=""{0: 1484141}""",4452421,1484141,0.25,2.47%,2.47%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,4,100,Friday-02-03-2018.pcapng.net/Connection.csv,98.23007607460022,22833,11955,1393880,5,0.9916285952068807,0.656347016212487,0.9997810666433138,"=""{0: 1405835, 1: 22838}""","=""{0: 1393885, 1: 34788}""",4286018,1428673,0.25,1.61%,1.60%,0.792454794710721
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,4,100,Friday-16-02-2018.pcapng.net/Connection.csv,42.13092613220215,3592,5,593724,0,0.999991629291453,0.9986099527383931,1.0,"=""{0: 593729, 1: 3592}""","=""{0: 593724, 1: 3597}""",1791963,597321,0.25,0.59%,0.60%,0.999304492975379
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,4,100,Friday-23-02-2018.pcapng.net/Connection.csv,67.86589694023132,0,1,1000054,52,0.9999470056703933,0.0,0.0,"=""{0: 1000055, 1: 52}""","=""{0: 1000106, 1: 1}""",3000318,1000107,0.25,0.00%,0.01%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,12,100,Thursday-01-03-2018.pcapng.net/Connection.csv,249.49798703193665,22711,1887,1452798,8584,0.9929534717829311,0.9232864460525246,0.7257069819459978,"=""{0: 1454685, 1: 31295}""","=""{0: 1461382, 1: 24598}""",4457939,1485980,0.25,2.11%,2.11%,0.812659903744655
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,4,100,Thursday-22-02-2018.pcapng.net/Connection.csv,93.04386377334595,0,0,1370429,49,0.9999642460513777,nan,0.0,"=""{0: 1370429, 1: 49}""","=""{0: 1370478}""",4111432,1370478,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,4,100,Tuesday-20-02-2018.pcapng.net/Connection.csv,53.9759156703949,36689,4084,757561,6,0.9948768695042213,0.8998356755696172,0.9998364899850116,"=""{0: 761645, 1: 36695}""","=""{0: 757567, 1: 40773}""",2395019,798340,0.25,4.61%,4.60%,0.9472040068157175
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,7,100,Wednesday-14-02-2018.pcapng.net/Connection.csv,37.50068712234497,1630,78,336194,0,0.9997691638404035,0.9543325526932084,1.0,"=""{0: 336272, 1: 1630}""","=""{0: 336194, 1: 1708}""",1013706,337902,0.25,0.48%,0.48%,0.9766327142001198
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,4,100,Wednesday-21-02-2018.pcapng.net/Connection.csv,87.65540266036987,36959,3998,1304087,0,0.997027606531831,0.9023854286202603,1.0,"=""{0: 1308085, 1: 36959}""","=""{0: 1304087, 1: 40957}""",4035129,1345044,0.25,2.74%,2.75%,0.9486883310231531
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information,4,100,Wednesday-28-02-2018.pcapng.net/Connection.csv,99.43168210983276,0,0,1447568,36573,0.9753574626669569,nan,0.0,"=""{0: 1447568, 1: 36573}""","=""{0: 1484141}""",4452421,1484141,0.25,2.47%,2.46%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,5,100,Friday-02-03-2018.pcapng.net/Connection.csv,110.13538670539856,23008,11929,1393728,8,0.9916446940622522,0.6585568308669891,0.9996524157108099,"=""{0: 1405657, 1: 23016}""","=""{0: 1393736, 1: 34937}""",4286018,1428673,0.25,1.60%,1.61%,0.7940227425672528
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,16,100,Friday-16-02-2018.pcapng.net/Connection.csv,127.21759414672852,3534,11,593776,0,0.9999815844411966,0.9968970380818054,1.0,"=""{0: 593787, 1: 3534}""","=""{0: 593776, 1: 3545}""",1791963,597321,0.25,0.59%,0.59%,0.9984461082073739
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,4,100,Friday-23-02-2018.pcapng.net/Connection.csv,66.72506260871887,45,739,999305,18,0.999243080990334,0.05739795918367347,0.7142857142857143,"=""{0: 1000044, 1: 63}""","=""{0: 999323, 1: 784}""",3000318,1000107,0.25,0.00%,0.01%,0.10625737898465171
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,8,100,Thursday-01-03-2018.pcapng.net/Connection.csv,169.83949732780457,29803,37573,1416880,1724,0.9735548257715447,0.4423385181667062,0.9453167126589908,"=""{0: 1454453, 1: 31527}""","=""{0: 1418604, 1: 67376}""",4457939,1485980,0.25,2.10%,2.12%,0.6026713042071525
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,9,100,Thursday-22-02-2018.pcapng.net/Connection.csv,176.5072259902954,0,0,1370422,56,0.9999591383444316,nan,0.0,"=""{0: 1370422, 1: 56}""","=""{0: 1370478}""",4111432,1370478,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,7,100,Tuesday-20-02-2018.pcapng.net/Connection.csv,83.87769651412964,36657,4090,757588,5,0.9948706065085051,0.8996245122340295,0.9998636190060554,"=""{0: 761678, 1: 36662}""","=""{0: 757593, 1: 40747}""",2395019,798340,0.25,4.62%,4.59%,0.9470991745145914
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,7,100,Wednesday-14-02-2018.pcapng.net/Connection.csv,37.71985650062561,0,0,336278,1624,0.9951938727796816,nan,0.0,"=""{0: 336278, 1: 1624}""","=""{0: 337902}""",1013706,337902,0.25,0.48%,0.48%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,8,100,Wednesday-21-02-2018.pcapng.net/Connection.csv,156.2808051109314,37043,4082,1303914,5,0.9969614376927446,0.900741641337386,0.9998650399481753,"=""{0: 1307996, 1: 37048}""","=""{0: 1303919, 1: 41125}""",4035129,1345044,0.25,2.74%,2.75%,0.9477185217402427
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with class weights,9,100,Wednesday-28-02-2018.pcapng.net/Connection.csv,191.79420161247253,35639,37204,1410088,1210,0.9741170144885156,0.4892577186551899,0.9671632880132432,"=""{0: 1447292, 1: 36849}""","=""{0: 1411298, 1: 72843}""",4452421,1484141,0.25,2.47%,2.48%,0.6498012617146192
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,7,100,Friday-02-03-2018.pcapng.net/Connection.csv,148.12562894821167,23149,11760,1393764,0,0.9917685852535885,0.6631241227190696,1.0,"=""{0: 1405524, 1: 23149}""","=""{0: 1393764, 1: 34909}""",4286018,1428673,0.25,1.60%,1.62%,0.7974439353749699
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,6,100,Friday-16-02-2018.pcapng.net/Connection.csv,56.586052656173706,3567,1,593753,0,0.9999983258582906,0.9997197309417041,1.0,"=""{0: 593754, 1: 3567}""","=""{0: 593753, 1: 3568}""",1791963,597321,0.25,0.59%,0.60%,0.9998598458304134
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,5,100,Friday-23-02-2018.pcapng.net/Connection.csv,80.19882321357727,0,0,1000064,43,0.9999570046005077,nan,0.0,"=""{0: 1000064, 1: 43}""","=""{0: 1000107}""",3000318,1000107,0.25,0.01%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,8,100,Thursday-01-03-2018.pcapng.net/Connection.csv,171.998708486557,22182,1690,1453002,9106,0.9927347608985316,0.929205764075067,0.7089619023267707,"=""{0: 1454692, 1: 31288}""","=""{0: 1462108, 1: 23872}""",4457939,1485980,0.25,2.11%,2.11%,0.8042784626540972
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,4,100,Thursday-22-02-2018.pcapng.net/Connection.csv,92.3615198135376,0,0,1370430,48,0.9999649757237986,nan,0.0,"=""{0: 1370430, 1: 48}""","=""{0: 1370478}""",4111432,1370478,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,5,100,Tuesday-20-02-2018.pcapng.net/Connection.csv,64.85498762130737,36965,4031,757340,4,0.9949457624570984,0.9016733339838033,0.9998918012388758,"=""{0: 761371, 1: 36969}""","=""{0: 757344, 1: 40996}""",2395019,798340,0.25,4.60%,4.63%,0.9482460078240237
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,16,100,Wednesday-14-02-2018.pcapng.net/Connection.csv,75.4083480834961,1544,55,336303,0,0.999837230913105,0.965603502188868,1.0,"=""{0: 336358, 1: 1544}""","=""{0: 336303, 1: 1599}""",1013706,337902,0.25,0.49%,0.46%,0.9825007954183901
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,5,100,Wednesday-21-02-2018.pcapng.net/Connection.csv,107.14781355857849,36991,4054,1303994,5,0.9969822548556032,0.9012303569253258,0.9998648502540816,"=""{0: 1308048, 1: 36996}""","=""{0: 1303999, 1: 41045}""",4035129,1345044,0.25,2.74%,2.75%,0.9479888776412398
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with tweaked class weights,7,100,Wednesday-28-02-2018.pcapng.net/Connection.csv,155.51910662651062,28208,2446,1444910,8577,0.9925728081092026,0.920206172114569,0.7668343074622809,"=""{0: 1447356, 1: 36785}""","=""{0: 1453487, 1: 30654}""",4452421,1484141,0.25,2.47%,2.48%,0.836548584646866
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with dropout layer,4,100,Friday-02-03-2018.pcapng.net/Connection.csv,96.21339130401611,22712,11802,1394156,3,0.9917370874930792,0.6580518050646115,0.999867928681488,"=""{0: 1405958, 1: 22715}""","=""{0: 1394159, 1: 34514}""",4286018,1428673,0.25,1.61%,1.59%,0.793723461881214
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with dropout layer,4,100,Friday-16-02-2018.pcapng.net/Connection.csv,41.71344304084778,3500,7,593814,0,0.9999882810080342,0.998003992015968,1.0,"=""{0: 593821, 1: 3500}""","=""{0: 593814, 1: 3507}""",1791963,597321,0.25,0.59%,0.59%,0.9990009990009989
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with dropout layer,4,100,Friday-23-02-2018.pcapng.net/Connection.csv,67.92255663871765,0,7,1000052,48,0.9999450058843704,0.0,0.0,"=""{0: 1000059, 1: 48}""","=""{0: 1000100, 1: 7}""",3000318,1000107,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with dropout layer,4,100,Thursday-01-03-2018.pcapng.net/Connection.csv,100.05354905128479,0,0,1454162,31818,0.9785878679390032,nan,0.0,"=""{0: 1454162, 1: 31818}""","=""{0: 1485980}""",4457939,1485980,0.25,2.10%,2.14%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with dropout layer,4,100,Thursday-22-02-2018.pcapng.net/Connection.csv,92.93792247772217,0,0,1370422,56,0.9999591383444316,nan,0.0,"=""{0: 1370422, 1: 56}""","=""{0: 1370478}""",4111432,1370478,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | without address information | with dropout layer,5,100,Tuesday-20-02-2018.pcapng.net/Connection.csv,64.3888578414917,37022,4129,757181,8,0.9948179973444898,0.8996622196301426,0.999783958952201,"=""{0: 761310, 1: 37030}""","=""{0: 757189, 1: 41151}""",2395019,798340,0.25,4.60%,4.64%,0.9470843299522902
