Notes,StopEpoch,MaxEpochs,File,Time,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Precision,Recall,Y_EVAL,Y_PRED,SizeTrain,SizeEval,TestSize,PositiveShareTraining,PositiveShareTesting,F1
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,8,100,Friday-02-03-2018.pcapng.net/Connection.csv,169.6822497844696,21183,1118,1404668,1704,0.9980247404409547,0.9498677189363706,0.9255472538995937,"=""{0: 1405786, 1: 22887}""","=""{0: 1406372, 1: 22301}""",4286018,1428673,0.25,1.61%,1.60%,0.9375497919801717
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,5,100,Friday-16-02-2018.pcapng.net/Connection.csv,51.80869245529175,3502,9,593810,0,0.9999849327246154,0.9974366277413842,1.0,"=""{0: 593819, 1: 3502}""","=""{0: 593810, 1: 3511}""",1791963,597321,0.25,0.59%,0.59%,0.9987166690432054
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,4,100,Friday-23-02-2018.pcapng.net/Connection.csv,71.31977200508118,0,0,1000056,51,0.9999490054564162,nan,0.0,"=""{0: 1000056, 1: 51}""","=""{0: 1000107}""",3000318,1000107,0.25,0.00%,0.01%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,8,100,Thursday-01-03-2018.pcapng.net/Connection.csv,177.2202808856964,29399,254,1454282,2045,0.9984528728515861,0.9914342562303983,0.9349637450706018,"=""{0: 1454536, 1: 31444}""","=""{0: 1456327, 1: 29653}""",4457939,1485980,0.25,2.11%,2.12%,0.9623713111936757
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,4,100,Thursday-22-02-2018.pcapng.net/Connection.csv,96.13263201713562,0,0,1370425,53,0.9999613273616942,nan,0.0,"=""{0: 1370425, 1: 53}""","=""{0: 1370478}""",4111432,1370478,0.25,0.00%,0.00%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,4,100,Tuesday-20-02-2018.pcapng.net/Connection.csv,56.93067121505737,0,0,761882,36458,0.9543327404364056,nan,0.0,"=""{0: 761882, 1: 36458}""","=""{0: 798340}""",2395019,798340,0.25,4.62%,4.57%,0
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,7,100,Wednesday-14-02-2018.pcapng.net/Connection.csv,38.71123909950256,1571,13,336318,0,0.9999615273067339,0.9917929292929293,1.0,"=""{0: 336331, 1: 1571}""","=""{0: 336318, 1: 1584}""",1013706,337902,0.25,0.49%,0.46%,0.9958795562599049
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,4,100,Wednesday-21-02-2018.pcapng.net/Connection.csv,95.71370697021484,36967,4084,1303990,3,0.9969614376927446,0.9005139947869722,0.9999188531241547,"=""{0: 1308074, 1: 36970}""","=""{0: 1303993, 1: 41051}""",4035129,1345044,0.25,2.74%,2.75%,0.9476166673075197
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information,11,100,Wednesday-28-02-2018.pcapng.net/Connection.csv,230.2818477153778,35509,1011,1446542,1079,0.99859177800492,0.9723165388828039,0.9705094566524544,"=""{0: 1447553, 1: 36588}""","=""{0: 1447621, 1: 36520}""",4452421,1484141,0.25,2.47%,2.47%,0.9714121573562401
BINARY | BATCH_SIZE: 1024 | 16 - 32 - 16 | with address information | with class weights,10,100,Friday-02-03-2018.pcapng.net/Connection.csv,205.71263766288757,23044,4809,1400815,5,0.9966304395757462,0.8273435536566977,0.9997830708490607,"=""{0: 1405624, 1: 23049}""","=""{0: 1400820, 1: 27853}""",4286018,1428673,0.25,1.60%,1.61%,0.9054261129228713
