Notes,StopEpoch,MaxEpochs,File,Time,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Precision,Recall,Y_EVAL,Y_PRED,SizeTrain,SizeEval,TestSize,PositiveShareTraining,PositiveShareTesting,F1
MULTICLASS | BATCH_SIZE: 2048 | 16 - 32 - 16 | without address information | with dropout layer,6,100,all/Connection.csv,508.29627752304077,76951,8736,9764580,3,0.995060233175704,0.8980475451352014,0.9999610156716999,"=""{0: 9793643, 1: 76962, 2: 1727, 3: 5, 4: 67627, 5: 22652}""","=""{0: 9783672, 1: 85862, 4: 58401, 5: 34681}""",29887846,9962616,0.25,1.71%,1.70%,0.9462681611647739
MULTICLASS | BATCH_SIZE: 4096 | with address information,6,100,all/Connection.csv,378.20293712615967,77255,8281,9766578,0,0.9967311798427241,0.90318696221474,1.0,"=""{0: 9793195, 1: 77262, 2: 1709, 3: 5, 4: 67762, 5: 22683}""","=""{0: 9769634, 1: 86667, 4: 72121, 5: 34194}""",29887846,9962616,0.25,1.71%,1.70%,0.9491310944708246
MULTICLASS | BATCH_SIZE: 4096 | with address information | with dropout layer,5,100,all/Connection.csv,349.0175175666809,77280,8169,9766555,0,0.9964469171550926,0.9043991152617351,1.0,"=""{0: 9792374, 1: 77288, 2: 1676, 3: 1, 4: 68238, 5: 23039}""","=""{0: 9774197, 1: 85502, 4: 66788, 5: 36129}""",29887846,9962616,0.25,1.70%,1.71%,0.9497999741902182
MULTICLASS | BATCH_SIZE: 4096 | without address information,8,100,all/Connection.csv,400.67970275878906,77467,8553,9766521,5,0.9952592772821918,0.900569634968612,0.9999354605534903,"=""{0: 9792224, 1: 77522, 2: 1734, 3: 4, 4: 68084, 5: 23048}""","=""{0: 9786298, 1: 86036, 4: 55281, 5: 35001}""",29887846,9962616,0.25,1.70%,1.71%,0.9476549311281286
MULTICLASS | BATCH_SIZE: 4096 | 16 - 32 - 16 | without address information | with class weights,10,100,all/Connection.csv,462.0013825893402,67814,88953,7869811,4,0.8053145880559885,0.432578284970689,0.9999410186086289,"=""{0: 9793437, 1: 76894, 2: 1759, 3: 5, 4: 67898, 5: 22623}""","=""{0: 7873648, 1: 157625, 4: 961546, 5: 969797}""",29887846,9962616,0.25,1.71%,1.70%,0.6039049802969922
MULTICLASS | BATCH_SIZE: 4096 | 16 - 32 - 16 | without address information | with dropout layer,5,100,all/Connection.csv,311.5025770664215,77397,8386,9764884,8,0.99490886730955,0.9022417029015073,0.9998966475033912,"=""{0: 9792417, 1: 77425, 2: 1726, 3: 1, 4: 68142, 5: 22905}""","=""{0: 9784123, 1: 85924, 4: 60673, 5: 31896}""",29887846,9962616,0.25,1.70%,1.71%,0.9485623942936982
MULTICLASS | BATCH_SIZE: 1024 | 2 - 4 - 2 | with address information,7,100,all/Connection.csv,755.448734998703,75674,12288,9765889,23,0.9884934840407379,0.8603033127941612,0.999696157047175,"=""{0: 9793052, 1: 76909, 2: 1696, 3: 4, 4: 68131, 5: 22824}""","=""{0: 9828381, 1: 88391, 4: 43526, 5: 2318}""",29887846,9962616,0.25,1.71%,1.70%,0.9247765170262559
MULTICLASS | BATCH_SIZE: 1024 | 2 - 4 - 2 | with address information | with class weights,7,100,all/Connection.csv,760.895355463028,69188,40979,9242767,9,0.9436421116702681,0.6280283569489956,0.9998699365579433,"=""{0: 9791791, 1: 77675, 2: 1727, 3: 2, 4: 68543, 5: 22878}""","=""{0: 9245696, 1: 110345, 2: 125324, 4: 209591, 5: 271660}""",29887846,9962616,0.25,1.70%,1.71%,0.7714814567025714
MULTICLASS | BATCH_SIZE: 1024 | 2 - 4 - 2 | with address information | with tweaked class weights,11,100,all/Connection.csv,1121.7000653743744,77246,32365,8283176,2,0.8462873606691255,0.7047285400187937,0.9999741093620547,"=""{0: 9792789, 1: 77323, 2: 1783, 3: 6, 4: 68015, 5: 22700}""","=""{0: 8300779, 1: 109738, 2: 137819, 4: 1227334, 5: 186946}""",29887846,9962616,0.25,1.70%,1.70%,0.8267838316591655
MULTICLASS | BATCH_SIZE: 1024 | 2 - 4 - 2 | without address information,10,100,all/Connection.csv,955.4949798583984,77103,13122,9765646,40,0.9882521819570281,0.8545635910224438,0.9994814824416992,"=""{0: 9792949, 1: 77191, 2: 1694, 3: 2, 4: 68047, 5: 22733}""","=""{0: 9833511, 1: 92570, 4: 36535}""",29887846,9962616,0.25,1.71%,1.70%,0.9213589216576646
